timestamp,dataset_label,db,filter,n_queries,dim,top_k,mean_ms,p95_ms,p99_ms,throughput_qps,cpu_total_avg,cpu_total_max,cpu_proc_avg,cpu_proc_max,mem_avg_mb,mem_max_mb
2025-12-08T11:19:52.712525,SMALL,chroma,none,100,128,10,2.4665,15.7649,16.0934,389.4852,4.98,100.00,0.00,0.00,95.08,95.15
2025-12-08T11:19:52.714198,SMALL,pgvector,none,100,128,10,2.3158,11.4219,15.7825,337.2250,6.93,66.70,0.00,0.00,96.95,97.02
2025-12-08T11:19:54.387888,SMALL,chroma,category=A,100,128,10,11.7990,22.6461,25.3105,82.1679,12.31,50.00,17.40,195.30,97.88,98.30
2025-12-08T11:19:54.387888,SMALL,pgvector,category=A,100,128,10,3.0459,15.9023,16.8568,284.2066,6.95,100.00,1.04,104.20,98.13,98.13
