timestamp,dataset_label,db,query_index,filter,latency_ms
2025-12-08T10:29:44.731898,TEST_1000,chroma,0,none,2.5973
2025-12-08T10:29:44.735005,TEST_1000,chroma,1,none,1.9999
2025-12-08T10:29:44.738553,TEST_1000,chroma,2,none,2.7978
2025-12-08T10:29:44.741776,TEST_1000,chroma,3,none,3.2225
2025-12-08T10:29:44.741776,TEST_1000,chroma,4,none,0.0000
2025-12-08T10:29:44.746756,TEST_1000,chroma,5,none,4.9808
2025-12-08T10:29:44.746756,TEST_1000,chroma,6,none,0.0000
2025-12-08T10:29:44.752692,TEST_1000,chroma,7,none,5.9354
2025-12-08T10:29:44.752692,TEST_1000,chroma,8,none,0.0000
2025-12-08T10:29:44.752692,TEST_1000,chroma,9,none,0.0000
2025-12-08T10:29:44.759700,TEST_1000,chroma,10,none,7.0086
2025-12-08T10:29:44.759700,TEST_1000,chroma,11,none,0.0000
2025-12-08T10:29:44.767380,TEST_1000,chroma,12,none,7.6797
2025-12-08T10:29:44.767380,TEST_1000,chroma,13,none,0.0000
2025-12-08T10:29:44.773529,TEST_1000,chroma,14,none,6.1493
2025-12-08T10:29:44.773529,TEST_1000,chroma,15,none,0.0000
2025-12-08T10:29:44.773529,TEST_1000,chroma,16,none,0.0000
2025-12-08T10:29:44.780475,TEST_1000,chroma,17,none,6.9461
2025-12-08T10:29:44.780475,TEST_1000,chroma,18,none,0.0000
2025-12-08T10:29:44.780475,TEST_1000,chroma,19,none,0.0000
2025-12-08T10:29:44.788039,TEST_1000,chroma,20,none,7.5631
2025-12-08T10:29:44.788039,TEST_1000,chroma,21,none,0.0000
2025-12-08T10:29:44.794395,TEST_1000,chroma,22,none,6.3562
2025-12-08T10:29:44.794933,TEST_1000,chroma,23,none,0.0000
2025-12-08T10:29:44.794933,TEST_1000,chroma,24,none,0.0000
2025-12-08T10:29:44.801883,TEST_1000,chroma,25,none,6.9506
2025-12-08T10:29:44.801883,TEST_1000,chroma,26,none,0.0000
2025-12-08T10:29:44.801883,TEST_1000,chroma,27,none,0.0000
2025-12-08T10:29:44.808805,TEST_1000,chroma,28,none,6.9220
2025-12-08T10:29:44.808805,TEST_1000,chroma,29,none,0.0000
2025-12-08T10:29:44.815198,TEST_1000,chroma,30,none,6.3927
2025-12-08T10:29:44.815791,TEST_1000,chroma,31,none,0.0000
2025-12-08T10:29:44.815791,TEST_1000,chroma,32,none,0.0000
2025-12-08T10:29:44.822143,TEST_1000,chroma,33,none,6.3529
2025-12-08T10:29:44.824757,TEST_1000,chroma,34,none,1.4749
2025-12-08T10:29:44.824757,TEST_1000,chroma,35,none,0.0000
2025-12-08T10:29:44.830276,TEST_1000,chroma,36,none,5.5194
2025-12-08T10:29:44.832287,TEST_1000,chroma,37,none,2.0106
2025-12-08T10:29:44.835280,TEST_1000,chroma,38,none,1.9805
2025-12-08T10:29:44.837279,TEST_1000,chroma,39,none,1.9991
2025-12-08T10:29:44.839281,TEST_1000,chroma,40,none,0.9904
2025-12-08T10:29:44.842282,TEST_1000,chroma,41,none,2.0003
2025-12-08T10:29:44.843049,TEST_1000,chroma,42,none,0.0000
2025-12-08T10:29:44.843049,TEST_1000,chroma,43,none,0.0000
2025-12-08T10:29:44.843049,TEST_1000,chroma,44,none,0.0000
2025-12-08T10:29:44.843049,TEST_1000,chroma,45,none,0.0000
2025-12-08T10:29:44.843049,TEST_1000,chroma,46,none,0.0000
2025-12-08T10:29:44.843049,TEST_1000,chroma,47,none,0.0000
2025-12-08T10:29:44.858283,TEST_1000,chroma,48,none,15.2340
2025-12-08T10:29:44.858283,TEST_1000,chroma,49,none,0.0000
