timestamp,dataset_label,db,filter,n_queries,dim,top_k,mean_ms,p95_ms,p99_ms,throughput_qps,cpu_total_avg,cpu_total_max,cpu_proc_avg,cpu_proc_max,mem_avg_mb,mem_max_mb
2025-12-08T10:34:40.419013,TEST_1000,chroma,none,100,128,10,2.1895,10.1478,10.2099,414.2629,5.76,100.00,0.00,0.00,95.19,95.32
2025-12-08T10:34:40.419013,TEST_1000,pgvector,none,100,128,10,1.0959,10.0386,10.3480,594.2228,4.97,100.00,0.98,97.70,97.05,97.16
2025-12-08T10:34:41.001422,TEST_1000,chroma,category=A,100,128,10,3.1793,10.4636,13.1300,287.6470,7.87,66.70,6.06,104.20,97.11,97.29
2025-12-08T10:34:41.001422,TEST_1000,pgvector,category=A,100,128,10,0.6315,2.3981,15.7646,656.6610,4.63,100.00,0.00,0.00,97.54,98.05
