timestamp,dataset_label,db,filter,n_queries,dim,top_k,mean_ms,p95_ms,p99_ms,throughput_qps,cpu_total_avg,cpu_total_max,cpu_proc_avg,cpu_proc_max,mem_avg_mb,mem_max_mb
2025-12-30T11:09:42.264255,large_300000,chroma,none,100,128,10,2.3908,15.7470,16.2763,390.2117,7.21,100.00,0.00,0.00,94.47,94.54
2025-12-30T11:09:42.264255,large_300000,pgvector,none,100,128,10,25.3740,29.9601,32.7105,38.7513,28.59,100.00,11.54,208.30,97.69,97.93
2025-12-30T11:10:10.391183,large_300000,chroma,category=A,100,128,10,240.1954,256.0273,273.1189,4.1440,12.06,34.60,0.39,6.70,97.81,97.91
2025-12-30T11:10:10.391183,large_300000,pgvector,category=A,100,128,10,25.5547,29.9076,32.9303,38.6788,24.78,100.00,2.47,97.70,97.72,97.80
